iter	Passed	Remaining
341	20500	39443
342	20569	39400
343	20618	39319
344	20675	39253
345	20738	39199
346	20799	39141
347	20849	39062
348	20897	38979
349	20988	38978
350	21052	38925
351	21120	38880
352	21162	38787
353	21242	38764
354	21298	38696
355	21339	38602
356	21379	38507
357	21424	38420
358	21469	38333
359	21540	38294
360	21596	38227
361	21664	38181
362	21712	38101
363	21757	38016
364	21827	37974
365	21867	37879
366	21911	37793
367	21956	37708
368	22034	37679
369	22104	37637
370	22159	37570
371	22213	37500
372	22278	37448
373	22319	37358
374	22371	37285
375	22426	37219
376	22462	37119
377	22498	37020
378	22545	36941
379	22602	36877
380	22662	36818
381	22705	36733
382	22742	36637
383	22805	36583
384	22855	36509
385	22893	36416
386	22946	36347
387	23010	36294
388	23065	36228
389	23131	36179
390	23184	36110
391	23250	36061
392	23299	35987
393	23363	35935
394	23411	35858
395	23451	35769
396	23507	35704
397	23562	35639
398	23616	35573
399	23678	35518
400	23735	35455
401	23778	35371
402	23825	35294
403	23867	35210
404	23906	35122
405	23954	35047
406	24011	34984
407	24066	34919
408	24124	34859
409	24171	34783
410	24242	34741
411	24326	34718
412	24389	34664
413	24441	34595
414	24487	34518
415	24535	34443
416	24636	34443
417	24685	34370
418	24752	34322
419	24812	34265
420	24884	34223
421	24981	34216
422	25063	34188
423	25168	34191
424	25247	34157
425	25296	34085
426	25387	34067
427	25437	33996
428	25517	33963
429	25576	33904
430	25635	33843
431	25713	33807
432	25786	33766
433	25829	33685
434	25862	33591
435	25911	33518
436	25969	33457
437	26024	33392
438	26077	33324
439	26147	33278
440	26215	33229
441	26272	33167
442	26339	33118
443	26403	33063
444	26453	32992
445	26514	32935
446	26557	32855
447	26659	32848
448	26731	32803
449	26783	32735
450	26832	32662
451	26891	32603
452	26951	32544
453	27028	32505
454	27114	32477
455	27170	32413
456	27217	32339
457	27269	32271
458	27345	32231
459	27407	32173
460	27456	32102
461	27501	32025
462	27565	31970
463	27611	31896
464	27669	31834
465	27722	31767
466	27766	31690
467	27807	31610
468	27849	31531
469	27912	31475
470	27965	31409
471	28025	31350
472	28124	31335
473	28261	31361
474	28333	31316
475	28397	31261
476	28441	31184
477	28500	31123
478	28569	31074
479	28641	31028
480	28699	30966
481	28743	30889
482	28798	30825
483	28852	30759
484	28900	30687
485	28977	30647
486	29044	30594
487	29093	30524
488	29159	30471
489	29237	30430
490	29284	30357
491	29326	30279
492	29413	30248
493	29478	30194
494	29493	30089
495	29508	29984
496	29524	29881
497	29539	29776
498	29554	29672
499	29567	29567
500	29634	29516
501	29718	29481
502	29787	29432
503	29835	29361
504	29904	29312
505	29967	29257
506	30060	29230
507	30154	29205
508	30221	29152
509	30283	29095
510	30374	29066
511	30510	29079
512	30582	29032
513	30642	28972
514	30682	28895
515	30742	28836
516	30801	28775
517	30868	28723
518	30945	28679
519	31008	28622
520	31057	28553
521	31127	28504
522	31182	28440
523	31231	28370
524	31272	28293
525	31288	28194
526	31304	28096
527	31318	27997
528	31330	27895
529	31347	27798
530	31362	27700
531	31376	27601
532	31390	27503
533	31405	27406
534	31420	27309
535	31436535	31538	27302
536	31585	27232
537	31624	27156
538	31674	27090
539	31740	27037
540	31804	26984
541	31852	26915
542	31900	26848
543	31950	26782
544	32020	26732
545	32105	26695
546	32162	26635
547	32233	26586
548	32277	26515
549	32329	26451
550	32394	26397
551	32543	26411
552	32622	26369
553	32670	26301
554	32720	26235
555	32774	26172
556	32829	26110
557	32888	26051
558	32955	25998
559	33001	25929
560	33053	25865
561	33105	25801
562	33162	25740
563	33212	25674
564	33250	25600
565	33311	25542
566	33363	25478
567	33416	25415
568	33465	25348
569	33509	25279
570	33556	25211
571	33605	25145
572	33635	25065
573	33692	25005
574	33753	24947
575	33807	24886
576	33858	24821
577	33898	24749
578	33961	24693
579	34016	24632
580	34070	24570
581	34120	24505
582	34170	24441
583	34208	24367
584	34255	24300
585	34338	24259
586	34408	24208
587	34469	24152
588	34515	24084
589	34579	24030
590	34627	23964
591	34712	23923
592	34808	23890
593	34881	23841
594	34945	23786
595	34994	23720
596	35045	23656
597	35085	23585
598	35159	23537
599	35220	23480
600	35264	23412
601	35318	23349
602	35359	23279
603	35424	23225
604	35489	23170
605	35546	23110
606	35603	23051
607	35652	22986
608	35702	22922
609	35785	22879
610	35849	22823
611	35897	22758
612	35971	22709
613	36030	22650
614	36124	22614
615	36241	22592
616	36306	22536
617	36345	22465
618	36416	22414
619	36473	22354
620	36533	22296
621	36595	22239
622	36665	22187
623	36717	22124
624	36779	22067
625	36844	22012
626	36896	21949
627	36911	21864
628	36926	21780
629	36941	21695
630	36957	21612
631	36970	21527
632	36985	214463633	37005	2136634	37011	21274
635	37066	21214
636	37121	21154
637	37169	21089
638	37220	21027
639	37277	20968
640	37330	20907
641	37381	20845
642	37437	20785
64643	37548	207564644	37612	207064645	37704	206664646	37754	205964647	37818	205464648	37881	204864649	37934	204265650	37989	203665651	38033	202965652	38073	202365653	38124	201665654	38160	2009655	38149	20005
656	38195	19940
65657	38313	1991658	38296	19816
65659	38425	197966660	38474	197366661	38537	196766662	38599	19619
663	38660	19563
664	38729	19510
665	38784	19450
666	38850	19396
667	38909	19338
668	38955	19273
669	39015	19216
670	39066	19154
671	39119	19094
672	39173	19033
673	39211	18965
674	39281	18913
675	39322	18846
676	39368	18783
677	39431	18726
678	39489	18668
679	39559	18616
680	39617	18557
681	39668	18496
682	39721	18436
683	39771	18373
684	39822	18312
685	39880	18254
686	39942	18197
687	39990	18135
688	40035	18071
689	40090	18011
690	40148	17953
691	40195	17890
692	40254	17832
693	40297	17767
694	40366	17714
695	40439	17663
696	40498	17605
697	40538	17539
698	40582	17475
699	40640	17417
700	40702	17361
701	40740	17294
702	40811	17241
703	40847	17174
704	40895	17112
705	40962	17058
706	41044	17009
707	41109	16954
708	41165	16896
709	41239	16844
710	41298	16786
711	41367	16732
712	41423	16673
713	41465	16609
714	41484	16535
715	41502	16462
716	41520	16388
717	41539	16315
718	41555	16240
719	41575	16168
720	41592	16094
721	41608	16020
722	41662	15961
723	41719	15904
724	41836	15868
725	41933	15825
726	41993	15769
727	42042	15708
728	42103	15651
729	42152	15590
730	42214	15534
731	42280	15479
732	42363	15431
733	42434	15378
734	42484	15317
735	42539	15258
736	42593	15199
737	42656	15143
738	42718	15087
739	42774	15028
740	42844	14975
741	42890	14913
742	42937	14851
743	42998	14795
744	43053	14736
745	43120	14681
746	43171	14621
747	43233	14565
748	43303	14511
749	43350	14450
750	43410	14393
751	43468	14335
752	43538	14281
753	43577	14217
754	43641	14161
755	43706	14106
756	43756	14046
757	43801	13984
758	43847	13922
759	43904	13864
760	43941	13800
761	43991	13740
762	44048	13682
763	44091	13619
764	44153	13563
765	44203	13503
766	44254	13443
767	44308	13384
768	44360	13325
769	44422	13268
770	44480	13211
771	44543	13155
772	44588	13093
773	44631	13031
774	44677	12970
775	44749	12917
776	44798	12857
777	44859	12800
778	44924	12744
779	44969	12683
780	45026	12625
781	45081	12567
782	45141	12510
783	45194	12451
784	45252	12394
785	45305	12335
786	45365	12277
787	45413	12217
788	45467	12159
789	45509	12097
790	45559	12037
791	45602	11976
792	45646	11915
793	45706	11858
794	45754	11798
795	45816	11741
796	45865	11682
797	45927	11625
798	45977	11566
799	46042	11510
800	46094	11451
801	46151	11394
802	46203	11335
803	46274	11280
804	46333	11223
805	46387	11165
806	46447	11108
807	46498	11049
808	46559	10992
809	46631	10938
810	46676	10877
811	46736	10820
812	46792	10762
813	46872	10710
814	46938	10654
815	47012	10600
816	47057	10540
817	47118	10483
818	47196	10430
819	47259	10374
820	47328	10318
821	47369	10257
822	47419	10198
823	47467	10138
824	47518	10079
825	47583	10023
826	47629	9963
827	47687	9906
828	47761	9851
829	47807	9791
830	47855	9732
831	47922	9676
832	47974	9617
833	48017	9557
834	48081	9501
835	48135	9442
836	48197	9386
837	48255	9328
838	48300	9268
839	48347	9209
840	48410	9152
841	48469	9095
842	48520	9036
843	48569	8977
844	48633	8920
845	48687	8862
846	48734	8803
847	48788	8745
848	48893	8695
849	48948	8637
850	49003	8579
851	49047	8519
852	49094	8460
853	49137	8400
854	49205	8344
855	49270	8288
856	49332	8231
857	49385	8173
858	49432	8114
859	49461	8051
860	49502	7991
861	49550	7932
862	49625	7877
863	49722	7826
864	49769	7767
865	49820	7708
866	49879	7651
867	49918	7591
868	49963	7531
869	50016	7473
870	50070	7415
871	50116	7356
872	50162	7297
873	50215	7239
874	50264	7180
875	50310	7121
876	50366	7063
877	50410	7004
878	50452	6945
879	50506	6887
880	50554	6828
881	50592	6768
882	50636	6709
883	50683	6650
884	50740	6593
885	50771	6532
886	50806	6472
887	50849	6413
888	50893	6354
889	50939	6295
890	50991	6238
891	51034	6179
892	51077	6120
893	51128	6062
894	51175	6003
895	51231	5946
896	51272	5887
897	51319	5829
898	51374	5771
899	51429	5714
900	51483	5656
901	51575	5603
902	51635	5546
903	51676	5487
904	51725	5429
905	51777	5372
906	51823	5313
907	51870	5255
908	51945	5200
909	52018	5144
910	52065	5086
911	52112	5028
912	52151	4969
913	52222	4913
914	52326	4860
915	52397	4805
916	52530	4754
917	52584	4697
918	52631	4638
919	52690	4581
920	52727	4522
921	52798	4466
922	52864	4410
923	52955	4355
924	53072	4303
925	53143	4246
926	53237	4192
927	53290	4134
928	53348	4077
929	53410	4020
930	53482	3963
931	53534	3905
932	53590	3848
933	53659	3791
934	53755	3737
935	53812	3679
936	53881	3622
937	53972	3567
938	54097	3514
939	54215	3460
940	54266	3402
941	54330	3345
942	54397	3288
943	54452	3230
944	54499	3171
945	54549	3113
946	54608	3056
947	54672	2998
948	54715	2940
949	54752	2881
950	54778	2822
951	54795	2762
952	54815	2703
953	54852	2644
954	54894	2586
955	54942	2528
956	54962	2469
957	54982	2410
958	55003	2351
959	55029	2292
960	55052	2234
961	55078	2175
962	55102	2117
963	55127	2058
964	55147	2000
965	55162	1941
966	55174	1882
967	55187	1824
968	55201	1765
969	55215	1707
970	55231	1649
971	55245	1591
972	55255	1533
973	55263	1475
974	55273	1417
975	55282	1359
976	55291	1301
977	55301	1243
978	55310	1186
979	55320	1128
980	55329	1071
981	55339	1014
982	55349	957
983	55358	900
984	55367	843
985	55375	786
986	55383	729
987	55392	672
988	55401	616
989	55410	559
990	55417	503
991	55425	446
992	55433	390
993	55442	334
994	55450	278
995	55458	222
996	55466	166
997	55474	111
998	55482	55
999	55490	0
