iter	Logloss
0	0.652094522
1	0.6182237775
2	0.5882611837
3	0.5568204253
4	0.5269001403
5	0.5015201769
6	0.4802286982
77	0.45679145428	0.4378173733
9	0.4181323782
10	0.4004032038
11	0.3839287716
12	0.3715223123
13	0.3580812956
14	0.3459671932
15	0.3354565929
16	0.3249437785
17	0.3159634426
18	0.3068190473
19	0.2984029081
20	0.2906243322
21	0.2824877819
22	0.2761571671
23	0.2697193882
24	0.2638023334
25	0.258890866
26	0.2541836391
27	0.2502373322
28	0.2467442901
29	0.2436727168
30	0.2392677886
31	0.2358936367
32	0.2323702833333	0.228516157334	0.225485357
35	0.2221026924
36	0.2190529656
37	0.2156575047
38	0.2126607288
39	0.2099613891
40	0.2075214421
41	0.2057806589
42	0.203860401
43	0.2014671617
44	0.1992950984
45	0.1971181862
46	0.1947344469
47	0.1929791156
48	0.1913549079
49	0.1894545475
50	0.1881781807
51	0.1873031661
52	0.1855179526
53	0.1847283917
54	0.1834389721
55	0.1820514475656	0.1811534125757	0.179351826558	0.177966274
59	0.1765442403
60	0.1754319824
61	0.1742351815
62	0.1732994786
63	0.172528151
64	0.17165	0.165	65	0.166	0.1698866	0.167	0.1687667	0.168	0.1678668	0.169	0.1669669	0.170	0.1670770	0.171	0.1771771	0.164361777272	0.1644976777373	0.1634442877474	0.1625261375	775	0.1613636776776	0.1605796777	77	0.1598523778	78	0.1590355779	0.1591239296880	0.1584062446881	81	0.1570267882	0.1572129572883	0.1567157099884	0.1560522456885	85	0.1544924886886	0.154055087	87	0.1532066888	88	0.1526124789	89	0.1519416690	90	0.151597859191	0.1512362759292	0.1507856738
93	0.15027106
94	0.149704561
95	0.1489564804
96	0.1484010848
97	0.1478895116
98	0.1472279607
99	0.146965117
100	0.1464745057
101	0.1458393819
102	0.1453381961
103	0.1449079549
104	0.1443862365
105	0.1437150386
106	0.1434280903
107	0.1427614467
108	0.1422385659
109	0.1417384207
110	0.1413209097
111	0.1408207735
112	0.1403719578
113	0.1399725761
114	0.1396230697
115	0.1391333124
116	0.1385236324
117	0.1382536751
118	0.1377577365
119	0.137439294
120	0.1369840527
121	0.1364310413
122	0.1358715418
123	0.1354066307
124	0.1349242795
125	0.1344936579
126	0.1338673269
127	0.1335684809
128	0.1332446777
129	0.1328613377
130	0.1324470308
131	0.1320421325
132	0.1317267519
133	0.1314843639
134	0.1311324109
135	0.1308433259
136	0.13041013191137	0.12975671021138	0.12925073971139	0.12861663441140	0.12811843891141	0.12763939781142	0.12723453761143	0.1269501011144	0.12578267631145	0.1253055342
146	0.1258322794
147	0.12552051791148	0.12529813041149	0.12480473291150	0.1245661759151	0.1229719694
152	0.1228172708
153	0.1224678806
154	0.1220190706
155	0.12163929941156	0.1214173763
157	0.1210317916
158	0.1206807845
159	0.1203808489
160	0.1200581467
161	0.1197610343
162	0.1194981624
163	0.1192541691
164	0.1188741132
165	0.1184167875
166	0.118123064
167	0.1179617945
168	0.1175496021
169	0.1172239989
170	0.1170343698
171	0.1167268527
172	0.1164406077
173	0.1159504416
174	0.1156149286
175	0.1153487182
176	0.114799955
177	0.1144509146
178	0.1142017376
179	0.1138769273
180	0.1134840552
181	0.1132052045
182	0.1129011336
183	0.1126868377
184	0.1123885931
185	0.1119829975
186	0.1117154068
187	0.1113660561
188	0.1110384831
189	0.1108316094
190	0.1104677915
191	0.1103117544
192	0.1100851427
193	0.1098547272
194	0.1095399394
195	0.1092690659
196	0.1090039629
197	0.1086836263
198	0.1084488196
199	0.1082348949
200	0.1080459689
201	0.1078190072
202	0.107562458
203	0.1072290085
204	0.1069502222
205	0.1067396837
206	0.10207	0.107207	0.10208	0.107208	0.10209	0.107209	0.10210	0.1066261474
211	0.1064155997
212	0.1061985088
213	0.1059433314
214	0.1056736409
215	0.1055374197
216	0.1052217764
217	0.1050142477
218	0.1048323977
219	0.1046711995
220	0.1044274407
221	0.1042509237
222	0.1039459155
223	0.1035401154
224	0.1033267984
225	0.1031511315
226	0.1029869785
227	0.1027970084
228	0.1025775897
229	0.1023664446
230	0.1021023499
231	0.1018647383
232	0.1016601124
233	0.1014154235
234	0.1010694164
235	0.1008629579
236	0.1006271459
237	0.1004243189
238	0.1002474105
239	0.1000535619
240	0.0998135575
241	0.09952102254
242	0.09924701546
243	0.09905168791
244	0.09888668168
245	0.09866518341
246	0.09859832735
247	0.09844155969
248	0.09834246677
249	0.09809504326
250	0.09789287677
251	0.09763617119
252	0.09742465074
253	0.09725852228
254	0.09709199557
255	0.09695137807
256	0.09678854031
257	0.09659123421
258	0.09646919666
259	0.09623852905
260	0.09590972774
261	0.09574867549
262	0.09552154892
263	0.09540072678
264	0.09521395701
265	0.09486046891
266	0.09468756765
267	0.09454900703
268	0.09438236331
269	0.09417196954
270	0.09398747062
271	0.09382644003
272	0.09365970327
273	0.09340637482
274	0.09325381334
275	0.09319221989
276	0.09286314647
277	0.09272939143
278	0.09261612293
279	0.09243215338
280	0.09229710333
281	0.09200351165
282	0.09180949206
283	0.09156513346
284	0.09145272845
285	0.09119692439
286	0.09096538225
287	0.09079512579
288	0.09062930615
289	0.09053895642
290	0.09038662383
291	0.09029457468
292	0.09002831416
293	0.08968030973
294	0.08950903053
295	0.08939776578
296	0.0892788658
297	0.08908505019
298	0.08895022742
299	0.08884923107
300	0.08870242315
301	0.08861120189
302	0.08848601499
303	0.08819001246
304	0.08790764443
305	0.08778670802
306	0.08753251241
307	0.08735754974
308	0.08714617795
309	0.08703371751
310	0.08694489149
311	0.08685155891
312	0.08667199822
313	0.08639863799
314	0.08625011884
315	0.0860916182
316	0.08598199579
317	0.08584177006
318	0.08563814231
319	0.08555956912
